Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived
40,C,134.5,1,1,female,1,1
22,S,7.25,0,3,male,0,0
27,S,7.8958,0,3,male,0,0
30,Q,12.35,0,2,female,0,1
22,S,29,1,2,female,1,1
30,S,69.55,2,3,male,8,0
36,C,135.6333,0,1,female,0,1
61,S,6.2375,0,3,male,0,0
36,S,13,0,2,female,0,1
31,S,20.525,1,3,female,1,1
16,C,57.9792,1,1,female,0,1
22,Q,23.25,0,3,female,2,1
45.5,S,28.5,0,1,male,0,0
38,S,153.4625,1,1,male,0,0
16,S,18,0,3,male,2,0
35.5,S,133.65,0,1,female,1,1
30,S,7.8958,0,3,male,0,0
29,S,66.6,0,1,male,1,0
41,C,134.5,0,1,female,0,1
45,S,8.05,0,3,male,0,1
45,S,35.5,0,1,male,0,0
2,S,26,1,2,male,1,1
24,S,263,2,1,female,3,1
28,S,13,0,2,male,0,0
25,S,13,0,2,male,0,0
36,S,13,0,2,male,0,0
24,S,13,0,2,female,0,1
40,S,13,0,2,female,0,1
35.5,S,16.1,0,3,female,1,1
3,S,15.9,1,3,male,1,1
42,S,8.6625,0,3,male,0,0
23,S,9.225,0,3,male,0,0
30,S,35,0,1,male,0,0
15,C,7.2292,1,3,male,1,0
25,S,17.8,0,3,male,1,0
30,C,7.225,0,3,male,0,0
28,S,9.5,0,3,male,0,0
22,S,55,1,1,female,0,1
38,S,13,0,2,female,0,0
22,Q,7.8792,0,3,female,0,1
22,Q,7.8792,0,3,female,0,1
40,S,27.9,4,3,male,1,0
29,C,27.7208,0,2,male,1,0
45,C,14.4542,1,3,female,0,0
35,S,7.05,0,3,male,0,0
30,Q,15.5,0,3,male,1,0
30,S,7.25,0,3,male,0,0
60,C,75.25,0,1,female,1,1
35.5,C,7.2292,0,3,female,0,1
22,Q,7.75,0,3,female,0,1
24,C,69.3,0,1,female,0,1
25,C,55.4417,0,1,male,1,1
18,S,6.4958,0,3,male,1,0
19,S,8.05,0,3,male,0,0
22,C,135.6333,0,1,male,0,0
3,S,21.075,1,3,female,3,0
35.5,C,82.1708,0,1,female,1,1
22,S,7.25,0,3,female,0,1
27,C,211.5,2,1,male,0,0
20,C,4.0125,0,3,male,0,0
19,S,7.775,0,3,male,0,0
42,C,227.525,0,1,female,0,1
1,C,15.7417,2,3,female,0,1
32,S,7.925,0,3,male,0,0
35,S,52,0,1,female,1,1
30,S,7.8958,0,3,male,0,0
18,S,73.5,0,2,male,0,0
1,S,46.9,2,3,male,5,0
36,S,13,0,2,female,0,1
30,Q,7.7292,0,3,male,0,0
17,C,12,0,2,female,0,1
36,S,120,2,1,male,1,1
21,S,7.7958,0,3,male,0,1
28,S,7.925,0,3,male,2,0
23,C,113.275,0,1,female,1,1
24,S,16.7,2,3,female,0,1
22,S,7.7958,0,3,male,0,0
31,S,7.8542,0,3,female,0,0
46,S,26,0,2,male,0,0
23,S,10.5,0,2,male,0,0
28,S,12.65,0,2,female,0,1
39,S,7.925,0,3,male,0,1
26,S,8.05,0,3,male,0,0
21,S,9.825,0,3,female,1,0
28,S,15.85,0,3,male,1,0
20,S,8.6625,0,3,female,0,0
34,S,21,0,2,male,1,0
51,S,7.75,0,3,male,0,0
3,S,18.75,1,2,male,1,1
21,S,7.775,0,3,male,0,0
22,S,25.4667,1,3,female,3,0
30,S,7.8958,0,3,male,0,0
30,Q,6.8583,0,3,male,0,0
33,Q,90,0,1,female,1,1
30,S,0,0,2,male,0,0
44,S,7.925,0,3,male,0,1
35.5,S,8.05,0,3,female,0,0
34,S,32.5,1,2,female,1,1
18,S,13,2,2,female,0,1
30,S,13,0,2,male,0,0
10,S,24.15,2,3,female,0,0
30,C,7.8958,0,3,male,0,0
21,Q,7.7333,0,3,male,0,0
29,S,7.875,0,3,male,0,0
28,S,14.4,1,3,female,1,0
18,S,20.2125,1,3,male,1,0
30,S,7.25,0,3,male,0,0
28,S,26,0,2,female,1,1
19,S,26,0,2,female,0,1
30,Q,7.75,0,3,male,0,0
32,S,8.05,0,3,male,0,1
28,S,26.55,0,1,male,0,1
35.5,S,16.1,0,3,female,1,1
42,S,26,0,2,female,1,1
17,S,7.125,0,3,male,0,0
50,S,55.9,0,1,male,1,0
14,S,120,2,1,female,1,1
21,S,34.375,2,3,female,2,0
24,S,18.75,3,2,female,2,1
64,S,263,4,1,male,1,0
31,S,10.5,0,2,male,0,0
45,S,26.25,1,2,female,1,1
20,S,9.5,0,3,male,0,0
25,S,7.775,0,3,male,1,0
28,S,13,0,2,female,0,1
30,S,8.1125,0,3,male,0,1
4,S,81.8583,2,1,male,0,1
13,S,19.5,1,2,female,0,1
34,S,26.55,0,1,male,0,1
5,C,19.2583,1,3,female,2,1
52,S,30.5,0,1,male,0,1
36,S,27.75,2,2,male,1,0
30,S,19.9667,0,3,male,1,0
30,C,27.75,0,1,male,0,0
49,C,89.1042,0,1,male,1,1
30,S,8.05,0,3,male,0,0
29,C,7.8958,0,3,male,0,1
65,S,26.55,0,1,male,0,0
35.5,S,51.8625,0,1,female,1,1
50,S,10.5,0,2,female,0,1
30,Q,7.75,0,3,male,0,0
48,S,26.55,0,1,male,0,1
34,S,8.05,0,3,male,0,0
47,S,38.5,0,1,male,0,0
48,S,13,0,2,male,0,0
30,S,8.05,0,3,male,0,0
38,S,7.05,0,3,male,0,0
30,S,0,0,2,male,0,0
56,S,26.55,0,1,male,0,0
30,Q,7.725,0,3,male,0,0
0.75,C,19.2583,1,3,female,2,1
30,S,7.25,0,3,male,0,0
38,S,8.6625,0,3,male,0,0
33,S,27.75,2,2,female,1,1
23,C,13.7917,0,2,female,0,1
22,S,9.8375,0,3,female,0,0
30,S,52,0,1,male,0,0
34,S,21,0,2,male,1,0
29,S,7.0458,0,3,male,1,0
22,S,7.5208,0,3,male,0,0
2,S,12.2875,1,3,female,0,1
9,S,46.9,2,3,male,5,0
30,S,0,0,2,male,0,0
50,S,8.05,0,3,male,0,0
63,S,9.5875,0,3,female,0,1
25,C,91.0792,0,1,male,1,1
22,S,25.4667,1,3,female,3,0
35,S,90,0,1,female,1,1
58,C,29.7,0,1,male,0,0
30,S,8.05,0,3,male,0,0
9,S,15.9,1,3,male,1,1
30,S,19.9667,0,3,male,1,0
21,S,7.25,0,3,male,0,0
55,S,30.5,0,1,male,0,0
71,C,49.5042,0,1,male,0,0
21,S,8.05,0,3,male,0,0
30,C,14.4583,0,3,male,0,0
54,C,78.2667,0,1,female,1,1
30,S,15.1,0,3,male,0,0
25,S,151.55,2,1,female,1,0
24,S,7.7958,0,3,male,0,0
17,S,8.6625,0,3,male,0,0
21,Q,7.75,0,3,female,0,0
22,Q,7.6292,0,3,female,0,0
37,S,9.5875,0,3,female,0,0
16,S,86.5,0,1,female,0,1
18,C,108.9,0,1,male,1,0
33,S,26,2,2,female,0,1
30,S,26.55,0,1,male,0,1
28,S,22.525,0,3,male,0,0
26,S,56.4958,0,3,male,0,1
29,Q,7.75,0,3,male,0,1
30,S,8.05,0,3,male,0,0
36,S,26.2875,0,1,male,0,1
54,C,59.4,0,1,female,1,1
24,S,7.4958,0,3,male,0,0
47,S,34.0208,0,1,male,0,0
34,S,10.5,0,2,female,0,1
30,Q,24.15,0,3,male,0,0
36,S,26,0,2,female,1,1
32,S,7.8958,0,3,male,0,0
30,S,93.5,0,1,female,0,1
22,S,7.8958,0,3,male,0,0
30,C,7.225,0,3,male,0,0
44,C,57.9792,1,1,female,0,1
30,C,7.2292,0,3,male,0,0
40.5,Q,7.75,0,3,male,0,0
50,S,10.5,0,2,female,0,1
30,S,221.7792,0,1,male,0,0
39,S,7.925,0,3,male,0,0
23,S,11.5,1,2,male,2,0
2,S,26,1,2,female,1,1
30,C,7.2292,0,3,male,0,0
17,C,7.2292,1,3,male,1,0
35.5,C,22.3583,2,3,female,0,1
30,S,8.6625,0,3,female,0,0
7,S,26.25,2,2,female,0,1
45,S,26.55,0,1,male,0,0
30,C,106.425,0,1,female,0,1
30,S,14.5,0,3,male,0,0
22,C,49.5,2,1,female,0,1
36,S,71,2,1,female,0,1
9,S,31.275,2,3,female,4,0
11,S,31.275,2,3,female,4,0
32,S,26,0,2,male,1,1
50,C,106.425,0,1,male,1,0
64,S,26,0,1,male,0,0
19,S,26,0,2,female,1,1
30,C,13.8625,0,2,male,0,1
33,S,20.525,1,3,male,1,0
8,S,36.75,1,2,male,1,1
17,C,110.8833,2,1,male,0,1
27,S,26,0,2,male,0,0
30,Q,7.8292,0,3,male,0,0
22,C,7.225,0,3,male,0,1
22,S,7.775,0,3,female,0,1
62,S,26.55,0,1,male,0,0
48,C,39.6,0,1,female,1,1
30,C,227.525,0,1,male,0,0
39,S,79.65,1,1,female,1,1
36,S,17.4,0,3,female,1,1
30,Q,7.75,0,3,male,0,0
40,S,7.8958,0,3,male,0,0
28,S,13.5,0,2,male,0,0
30,S,8.05,0,3,male,0,0
22,S,8.05,0,3,female,0,0
24,S,24.15,0,3,male,2,0
19,S,7.8958,0,3,male,0,0
29,S,21.075,4,3,female,0,0
30,C,7.2292,0,3,male,0,0
32,S,7.8542,0,3,male,0,1
62,S,10.5,0,2,male,0,1
53,S,51.4792,0,1,female,2,1
36,S,26.3875,0,1,male,0,1
22,Q,7.75,0,3,female,0,1
16,S,8.05,0,3,male,0,0
19,S,14.5,0,3,male,0,0
34,S,13,0,2,female,0,1
39,S,55.9,0,1,female,1,1
35.5,C,14.4583,0,3,female,1,0
32,S,7.925,0,3,male,0,1
25,S,30,1,2,female,1,1
39,C,110.8833,1,1,female,1,1
54,S,26,0,2,male,0,0
36,C,40.125,0,1,male,0,0
30,C,8.7125,0,3,male,0,0
18,S,79.65,2,1,female,0,1
47,S,15,0,2,male,0,0
60,C,79.2,1,1,male,1,1
22,S,8.05,0,3,male,0,0
30,S,8.05,0,3,male,0,0
35,S,7.125,0,3,male,0,0
52,C,78.2667,0,1,female,1,1
47,S,7.25,0,3,male,0,0
22,Q,7.75,2,3,female,0,0
37,S,26,0,2,male,1,0
36,S,24.15,1,3,male,1,0
22,S,33,0,2,female,0,1
49,S,0,0,3,male,0,0
30,C,7.225,0,3,male,0,0
49,C,56.9292,0,1,male,1,1
24,S,27,1,2,female,2,1
30,S,7.8958,0,3,male,0,0
30,S,42.4,0,1,male,0,0
44,S,8.05,0,3,male,0,0
35,C,26.55,0,1,male,0,1
36,S,15.55,0,3,male,1,0
30,S,7.8958,0,3,male,0,0
27,S,30.5,0,1,male,0,1
22,C,41.5792,2,2,female,1,1
40,S,153.4625,0,1,female,0,1
39,S,31.275,5,3,female,1,0
30,S,7.05,0,3,male,0,0
22,Q,15.5,0,3,female,1,1
30,Q,7.75,0,3,male,0,0
35,S,8.05,0,3,male,0,0
24,S,65,2,2,female,1,1
34,S,14.4,1,3,male,1,0
26,S,16.1,0,3,female,1,0
4,S,39,1,2,female,2,1
26,S,10.5,0,2,male,0,0
27,C,14.4542,0,3,male,1,0
42,S,52.5542,0,1,male,1,1
20,C,15.7417,1,3,male,1,1
21,S,7.8542,0,3,male,0,0
21,S,16.1,0,3,male,0,0
61,S,32.3208,0,1,male,0,0
57,Q,12.35,0,2,male,0,0
21,S,77.9583,0,1,female,0,1
26,S,7.8958,0,3,male,0,0
30,Q,7.7333,0,3,male,0,0
80,S,30,0,1,male,0,1
51,S,7.0542,0,3,male,0,0
32,C,30.5,0,1,male,0,1
30,S,0,0,1,male,0,0
9,S,27.9,2,3,female,3,0
28,S,13,0,2,female,0,1
32,S,7.925,0,3,male,0,0
31,S,26.25,1,2,male,1,0
41,S,39.6875,5,3,female,0,0
30,S,16.1,0,3,male,1,0
20,S,7.8542,0,3,male,0,0
24,C,69.3,0,1,female,0,1
2,S,27.9,2,3,female,3,0
30,S,56.4958,0,3,male,0,1
0.75,C,19.2583,1,3,female,2,1
48,C,76.7292,0,1,male,1,1
19,S,7.8958,0,3,male,0,0
56,C,35.5,0,1,male,0,1
30,S,7.55,0,3,male,0,0
23,S,7.55,0,3,female,0,1
30,S,7.8958,0,3,male,0,0
18,S,23,1,2,female,0,1
21,S,8.4333,0,3,male,0,0
22,Q,7.8292,0,3,female,0,1
18,Q,6.75,0,3,female,0,0
24,S,73.5,0,2,male,2,0
30,S,7.8958,0,3,male,0,0
32,Q,15.5,1,3,female,1,0
23,S,13,0,2,male,0,0
58,C,113.275,2,1,male,0,0
50,S,133.65,0,1,male,2,1
40,C,7.225,0,3,male,0,0
47,S,25.5875,0,1,male,0,0
36,S,7.4958,0,3,male,0,0
20,S,7.925,0,3,male,1,1
32,S,73.5,0,2,male,2,0
25,S,13,0,2,male,0,0
30,S,7.775,0,3,male,0,0
43,S,8.05,0,3,male,0,0
35.5,S,52,0,1,female,1,1
40,S,39,1,2,female,1,1
31,S,52,0,1,male,1,0
70,S,10.5,0,2,male,0,0
31,S,13,0,2,male,0,1
30,S,0,0,2,male,0,0
18,S,7.775,0,3,male,0,0
24.5,S,8.05,0,3,male,0,0
18,S,9.8417,0,3,female,0,1
43,S,46.9,6,3,female,1,0
36,C,512.3292,1,1,male,0,1
22,Q,8.1375,0,3,female,0,0
27,C,76.7292,0,1,male,0,1
20,S,9.225,0,3,male,0,0
14,S,46.9,2,3,male,5,0
60,S,39,1,2,male,1,0
25,C,41.5792,2,2,male,1,0
14,S,39.6875,1,3,male,4,0
19,S,10.1708,0,3,male,0,0
18,S,7.7958,0,3,male,0,0
15,S,211.3375,1,1,female,0,1
31,S,57,0,1,male,1,1
4,C,13.4167,1,3,female,0,1
30,S,56.4958,0,3,male,0,1
25,C,7.225,0,3,male,0,0
60,S,26.55,0,1,male,0,0
52,S,13.5,0,2,male,0,0
44,S,8.05,0,3,male,0,0
22,Q,7.7333,0,3,female,0,1
49,C,110.8833,1,1,male,1,0
42,S,7.65,0,3,male,0,0
18,C,227.525,0,1,female,1,1
35,S,26.2875,0,1,male,0,1
18,C,14.4542,1,3,female,0,0
25,Q,7.7417,0,3,male,0,0
26,S,7.8542,0,3,male,1,0
39,S,26,0,2,male,0,0
45,S,13.5,0,2,female,0,1
42,S,26.2875,0,1,male,0,1
22,S,151.55,0,1,female,0,1
4,C,15.2458,1,3,male,1,1
24,C,49.5042,0,1,female,0,1
30,S,26.55,0,1,male,0,0
48,S,52,0,1,male,1,1
29,S,9.4833,0,3,male,0,0
52,S,13,0,2,male,0,0
19,S,7.65,0,3,male,0,0
38,C,227.525,0,1,female,0,1
27,S,10.5,0,2,female,0,1
30,Q,15.5,0,3,male,0,0
33,S,7.775,0,3,male,0,0
6,S,33,1,2,female,0,1
17,S,7.0542,0,3,male,1,0
34,S,13,0,2,male,0,0
50,S,13,0,2,male,0,0
27,S,53.1,0,1,male,1,1
20,S,8.6625,0,3,male,0,0
30,S,21,0,2,female,3,1
22,Q,7.7375,0,3,female,0,1
25,S,26,0,2,male,1,0
25,S,7.925,0,3,female,1,0
29,S,211.3375,0,1,female,0,1
11,C,18.7875,0,3,male,0,0
30,S,0,0,2,male,0,0
23,S,13,0,2,male,0,0
23,S,13,0,2,male,0,0
28.5,S,16.1,0,3,male,0,0
48,S,34.375,3,3,female,1,0
35,C,512.3292,0,1,male,0,1
30,S,7.8958,0,3,male,0,0
30,S,7.8958,0,3,male,0,0
30,S,30,0,1,male,0,1
36,S,78.85,0,1,male,1,0
21,C,262.375,2,1,female,2,1
24,S,16.1,0,3,male,1,0
31,S,7.925,0,3,male,0,1
70,S,71,1,1,male,1,0
16,S,20.25,1,3,male,1,0
30,S,13,0,2,female,0,1
19,S,53.1,0,1,male,1,0
31,Q,7.75,0,3,male,0,0
4,S,23,1,2,female,1,1
6,S,12.475,1,3,male,0,1
33,S,9.5,0,3,male,0,0
23,S,7.8958,0,3,male,0,0
48,S,65,2,2,female,1,1
0.67,S,14.5,1,2,male,1,1
28,S,7.7958,0,3,male,0,0
18,S,11.5,0,2,male,0,0
34,S,8.05,0,3,male,0,0
33,S,86.5,0,1,female,0,1
30,S,14.5,0,3,male,0,0
41,S,7.125,0,3,male,0,0
20,C,7.2292,0,3,male,0,1
36,S,120,2,1,female,1,1
16,S,7.775,0,3,male,0,0
51,S,77.9583,0,1,female,1,1
49,C,39.6,0,1,male,0,0
